Key,Chinese (Traditional)(zh-TW)
幽冥守衛.Talk03,這裡是禁域，你無權前進。
幽冥守衛.Talk04,那鎖鏈的聲音……是我的主。
幽冥守衛.Talk05,鬼魂的悲鳴，是我維持形體的樂章。
幽冥守衛.Talk06,猛獸撕咬過的地方，我來填補。
幽冥守衛.Talk07,蜥蜴王膽敢挑戰封印，我會粉碎牠。
幽冥守衛.Talk08,水晶的光，是我的劍。
幽冥守衛.Talk09,每斬一人，我的符文就更亮。
幽冥守衛.Talk10,主啊……願鎖永不斷裂。
深淵蜥蜴王.Talk01,嘶——小心腳下，那是我的河。
深淵蜥蜴王.Talk02,我看得見黑暗中的每一次呼吸。
深淵蜥蜴王.Talk03,別踩我的尾巴……否則我咬斷你的影子。
深淵蜥蜴王.Talk04,那石像太慢了，我早就繞過牠。
深淵蜥蜴王.Talk05,洞裡的河，是我族的墳場。
深淵蜥蜴王.Talk06,猛獸的氣息……我討厭那味道。
深淵蜥蜴王.Talk07,守衛、鬼魂、鎖鏈……這地方是牢籠。
深淵蜥蜴王.Talk08,水晶光太亮，會刺瞎我眼。
深淵蜥蜴王.Talk09,我不屬於王，也不屬於這地底。
深淵蜥蜴王.Talk10,河流會帶走我的屍體，帶向自由。
永恆看守者-鎖鏈魔王.Talk01,……鎖鏈，響起。
永恆看守者-鎖鏈魔王.Talk02,我看守的，不只是門，還有罪。
永恆看守者-鎖鏈魔王.Talk03,鐵與魂的迴響，構築這地底的心臟。
永恆看守者-鎖鏈魔王.Talk04,岩石、鬼魂、獸、蜥蜴……都是我的傀儡。
永恆看守者-鎖鏈魔王.Talk05,我能聽見地表的風，但我不能上去。
永恆看守者-鎖鏈魔王.Talk06,每當牆移動，我的鎖也會收緊。
永恆看守者-鎖鏈魔王.Talk07,黑焰之貓曾企圖奪走這鎖……牠失敗了。
永恆看守者-鎖鏈魔王.Talk08,湖王的水、沙王的風、夜之影……都經過我手。
永恆看守者-鎖鏈魔王.Talk09,迷宮是我造的，也是我永遠的監牢。
永恆看守者-鎖鏈魔王.Talk10,鎖斷時，我便自由；但自由是懲罰。
永恆看守者-鎖鏈魔王.Talk11,結束吧，這迴圈的審判。
永恆看守者-鎖鏈魔王.Talk12,……再見了，冒險者。別試圖拯救深淵。
天翼獵鷹.Talk01,高空是我的獵場，雲是我的網。
天翼獵鷹.Talk02,你以為飛得高就安全？錯了。
天翼獵鷹.Talk03,風切過羽，聲音就是戰歌。
天翼獵鷹.Talk04,那條雷龍總愛在我領空放電。
天翼獵鷹.Talk05,雲霧遮不住獵物的心跳。
天翼獵鷹.Talk06,風之魔像……笨重卻固執的傢伙。
天翼獵鷹.Talk07,那位戰士靈魂，仍在巡邏祂的王國。
天翼獵鷹.Talk08,天空的王，從不容許第二雙翼。
天翼獵鷹.Talk09,雷在呼喚……我要應戰！
天翼獵鷹.Talk10,風停時，獵鷹也該墜落了。
雲霧元素.Talk01,形無定，心無常。
雲霧元素.Talk02,我的身體是雲，你的呼吸是我。
雲霧元素.Talk03,別試圖抓住我，手會空。
雲霧元素.Talk04,雷龍經過時，我會散成千片光。
雲霧元素.Talk05,樹葉的金光讓我想起舊時的陽。
雲霧元素.Talk06,那風之魔像，是我曾經的模樣。
雲霧元素.Talk07,戰士靈魂……連風都不願帶走他。
雲霧元素.Talk08,泰坦的呼吸能撕碎整片雲層。
雲霧元素.Talk09,霧中有夢，夢中有墜落。
雲霧元素.Talk10,風散時，我也該休眠。
雷擊飛龍.Talk01,閃電，是我說話的方式。
雷擊飛龍.Talk02,我的怒吼，就是風暴。
雷擊飛龍.Talk03,獵鷹總在我翅膀下顫抖。
雷擊飛龍.Talk04,天空之樹的光，讓我想咬一口。
雷擊飛龍.Talk05,風之魔像太慢，雲都等不及。
雷擊飛龍.Talk06,那戰士靈魂……曾與我同飛。
雷擊飛龍.Talk07,我聽見鎖鏈的聲音……來自地底。
雷擊飛龍.Talk08,泰坦？祂的雷還沒我純粹。
雷擊飛龍.Talk09,雲裂開，雷誕生。
雷擊飛龍.Talk10,終於……風靜，雷滅。
風之魔像.Talk01,風，構成我；風，也毀滅我。
風之魔像.Talk02,別逆著風走，那是泰坦的路。
風之魔像.Talk03,我不是石，也不是靈，我是氣流的意志。
風之魔像.Talk04,雷龍太吵，會讓橋崩塌。
風之魔像.Talk05,雲霧是我碎片，風是我記憶。
風之魔像.Talk06,那戰士仍守在雲下，不願離開。
風之魔像.Talk07,我聽見鎖鏈魔王的氣息從下方傳來。
風之魔像.Talk08,天空之樹的根伸進地底，連接深淵。
風之魔像.Talk09,風不屬於任何人，連王也不行。
風之魔像.Talk10,風息止，魔像歸。
天空戰士靈魂.Talk01,……我仍在巡邏這座城。
天空戰士靈魂.Talk02,我的劍，早已失去重量。
天空戰士靈魂.Talk03,獵鷹替我守橋，雷龍替我怒。
天空戰士靈魂.Talk04,那棵樹的光，是王的目光。
天空戰士靈魂.Talk05,雲霧是我的棺，風是我的墓誌。
天空戰士靈魂.Talk06,我聽見地底的鎖鏈與夜的低語。
天空戰士靈魂.Talk07,風之魔像曾是我的友……如今是空殼。
天空戰士靈魂.Talk08,雷擊飛龍，別再呼喚我的名字。
天空戰士靈魂.Talk09,若王召喚，我仍會舉劍。
天空戰士靈魂.Talk10,戰士歸雲，劍歸風。
天空王座-風暴泰坦.Talk01,凡人，仰望便是罪。
天空王座-風暴泰坦.Talk02,我統御風與雷，卻孤獨於雲巔。
天空王座-風暴泰坦.Talk03,風暴，是我的呼吸；閃電，是我的脈搏。
天空王座-風暴泰坦.Talk04,獵鷹、龍、戰士……皆為我的碎影。
天空王座-風暴泰坦.Talk05,天空之樹汲取我的怒，開出金色花。
天空王座-風暴泰坦.Talk06,我聽見鎖鏈魔王在下方哀號。
天空王座-風暴泰坦.Talk07,黑焰之貓曾到此尋真理——他沒找到。
天空王座-風暴泰坦.Talk08,雲霧元素，散吧。這裡不再需要夢。
天空王座-風暴泰坦.Talk09,我的王座懸於雷雲之上，永不墜落。
天空王座-風暴泰坦.Talk10,風息盡，雷止鳴——天國歸寂。
天空王座-風暴泰坦.Talk11,你以為打敗了我？那只是另一場風暴的開始。
天空王座-風暴泰坦.Talk12,風會帶走我的名，留下祂的傳說。
熔岩巨魔.Talk01,……熔化的，不只是石頭。
熔岩巨魔.Talk02,我用岩漿當血，用怒氣當火。
熔岩巨魔.Talk03,別靠太近，你會變成灰。
熔岩巨魔.Talk04,那隻火犬老是偷舔我手臂。
熔岩巨魔.Talk05,這座山的呼吸，比我還熱。
熔岩巨魔.Talk06,燃燒劍靈太急躁，劍光讓我眼疼。
熔岩巨魔.Talk07,惡魔說我是牠的盾……我更想打牠的臉。
熔岩巨魔.Talk08,深紅魔龍在呼喚，我的血也在滾。
熔岩巨魔.Talk09,地面崩裂時，我的家就到了。
熔岩巨魔.Talk10,……灰燼，也有記憶。
燃燒劍靈.Talk01,劍即焰，焰即魂。
燃燒劍靈.Talk02,我的劍，不需要鍛造，它自己燃燒。
燃燒劍靈.Talk03,你看到的火光，不是光——是我的怒。
燃燒劍靈.Talk04,巨魔太慢，劍應該比心跳快。
燃燒劍靈.Talk05,地面裂開，是我拔劍的聲音。
燃燒劍靈.Talk06,那惡魔……教會我如何斬風。
燃燒劍靈.Talk07,飛龍的尾焰，曾點燃過我的靈魂。
燃燒劍靈.Talk08,聽，那來自地底的咆哮，是王的審判。
燃燒劍靈.Talk09,火焰不會死，只會換宿主。
燃燒劍靈.Talk10,斬盡一切……連自己也不留。
火焰犬魔.Talk01,汪——！燒起來了！哈哈！
火焰犬魔.Talk02,我聞得到你的恐懼，比硫磺還香。
火焰犬魔.Talk03,舔火、吞煙、咬魂。
火焰犬魔.Talk04,那巨魔真笨，連骨頭都烤焦了。
火焰犬魔.Talk05,劍靈太吵，劍光會嚇跑獵物。
火焰犬魔.Talk06,惡魔的命令？我只聽火的聲音。
火焰犬魔.Talk07,飛龍的尾焰……好香。
火焰犬魔.Talk08,熔王的咆哮讓我想咬祂一口。
火焰犬魔.Talk09,地面在顫抖，是牠醒來了！
火焰犬魔.Talk10,汪……火滅了，我也冷了。
火焰惡魔.Talk01,這裡是我的王國，熱度是我的信仰。
火焰惡魔.Talk02,凡人會融化，靈魂會燃燒。
火焰惡魔.Talk03,巨魔、犬、劍靈——都向我低頭。
火焰惡魔.Talk04,熔岩是血，硫磺是息。
火焰惡魔.Talk05,地底鎖鏈曾約束我，如今鎖已斷。
火焰惡魔.Talk06,黑焰之貓？牠的火太冷。
火焰惡魔.Talk07,雷龍的閃電，也不及我一息之熱。
火焰惡魔.Talk08,天空的泰坦，以為自己懂風？他不懂燃燒。
火焰惡魔.Talk09,熔王是我父，也是我的獄。
火焰惡魔.Talk10,燃燒吧，直到一切化為無。
熔岩飛龍.Talk01,我從火中誕生，也將焚盡火。
熔岩飛龍.Talk02,你以為能飛得比我高？錯。
熔岩飛龍.Talk03,惡魔的怒火只是我的氣息之一。
熔岩飛龍.Talk04,火焰犬是我鱗下的跳蚤。
熔岩飛龍.Talk05,熔岩河是我的尾痕，別靠近。
熔岩飛龍.Talk06,我聽見地底鎖鏈的殘響。
熔岩飛龍.Talk07,天空王……他還欠我一場決鬥。
熔岩飛龍.Talk08,風能撫過火，但撲不滅它。
熔岩飛龍.Talk09,熔王在等我，讓我回歸烈焰。
熔岩飛龍.Talk10,……燃燒，是我的墳墓。
地獄熔王-深紅魔龍.Talk01,……誰，擾我沉眠？
地獄熔王-深紅魔龍.Talk02,熔岩是我血，火焰是我心。
地獄熔王-深紅魔龍.Talk03,這深淵，是我的王座，也是我的牢籠。
地獄熔王-深紅魔龍.Talk04,惡魔、飛龍、劍靈……都是我的火種。
地獄熔王-深紅魔龍.Talk05,地底鎖鏈曾封我，但我以焰斷之。
地獄熔王-深紅魔龍.Talk06,天空泰坦？他的雷，曾被我吞下。
地獄熔王-深紅魔龍.Talk07,黑焰之貓——我感受過牠的魔。
地獄熔王-深紅魔龍.Talk08,沙之王、湖之神、夜之影……都為我供燃料。
地獄熔王-深紅魔龍.Talk09,火焰不是毀滅，是誕生。
地獄熔王-深紅魔龍.Talk10,地獄升溫，正義融化。
地獄熔王-深紅魔龍.Talk11,你以為殺了我？你只是點燃了新火。
地獄熔王-深紅魔龍.Talk12,燃盡天地之後，焰將化作黎明。
混沌之主-終焉貓神_Lv1.Talk01,……你來了，萬象的終焉者。
混沌之主-終焉貓神_Lv1.Talk02,時間在抖動……空間在呼吸。
混沌之主-終焉貓神_Lv1.Talk03,我曾見過無數個你，無數次死亡。
混沌之主-終焉貓神_Lv1.Talk04,每一次重生，都是一場錯誤的修正。
混沌之主-終焉貓神_Lv1.Talk05,我不是神，也不是敵——我是法則的盡頭。
混沌之主-終焉貓神_Lv1.Talk06,黑焰之貓點燃了知識；我點燃了宇宙。
混沌之主-終焉貓神_Lv1.Talk07,鎖鏈魔王的囚籠，如今化為我的爪。
混沌之主-終焉貓神_Lv1.Talk08,天空的泰坦以為能高於混沌？祂錯了。
混沌之主-終焉貓神_Lv1.Talk09,一切力量的終點——都歸於我的夢。
混沌之主-終焉貓神_Lv1.Talk10,凝視我，就等於觀測自己的崩壞。
混沌之主-終焉貓神_Lv1.Talk11,你能承受「存在」被觀測的痛嗎？
混沌之主-終焉貓神_Lv1.Talk12,……開始吧，重演的第一個迴圈。
混沌之主-終焉貓神_Lv2.Talk01,混沌在翻轉，時光在逆行。
混沌之主-終焉貓神_Lv2.Talk02,我伸出的爪，不只撕裂你——還撕裂現實。
混沌之主-終焉貓神_Lv2.Talk03,我能看見你的下一秒，也能抹除它。
混沌之主-終焉貓神_Lv2.Talk04,時間碎片墜落……每一片都是一個死亡。
混沌之主-終焉貓神_Lv2.Talk05,秩序正在融化，法則開始尖叫。
混沌之主-終焉貓神_Lv2.Talk06,那些幻象之眼在笑——祂們看見了終末的形狀。
混沌之主-終焉貓神_Lv2.Talk07,你的攻擊？不過是歷史的重播。
混沌之主-終焉貓神_Lv2.Talk08,每一個倒下的世界，都成了我身上的花紋。
混沌之主-終焉貓神_Lv2.Talk09,我聽見雷霆、鎖鏈、焰與風在哭泣。
混沌之主-終焉貓神_Lv2.Talk10,你還在戰鬥？那我就賜你一個「永恆的瞬間」。
混沌之主-終焉貓神_Lv2.Talk11,我開始失控了……不，這就是我的本質。
混沌之主-終焉貓神_Lv2.Talk12,時空崩塌——你能跟上我的軌跡嗎？
混沌之主-終焉貓神_Lv3.Talk01,……輪迴開始重啟。
混沌之主-終焉貓神_Lv3.Talk02,我的身體碎裂成星辰，而星辰化為你。
混沌之主-終焉貓神_Lv3.Talk03,你聽見自己的誕生聲嗎？那是我的呼喚。
混沌之主-終焉貓神_Lv3.Talk04,所有的敵人與盟友，其實都是我在自語。
混沌之主-終焉貓神_Lv3.Talk05,熔王的火、泰坦的雷、黑貓的影——皆歸於一。
混沌之主-終焉貓神_Lv3.Talk06,混沌不是毀滅，而是下一個清晨。
混沌之主-終焉貓神_Lv3.Talk07,我看見未來的你——又回到了廢棄後巷。
混沌之主-終焉貓神_Lv3.Talk08,你將再次啟程，而我……再次沉睡。
混沌之主-終焉貓神_Lv3.Talk09,世界已經被重寫，只剩一行：貓在做夢。
混沌之主-終焉貓神_Lv3.Talk10,夢醒時，一切重生。
混沌之主-終焉貓神_Lv3.Talk11,……汝已完成迴圈。去吧，小小的光。
混沌之主-終焉貓神_Lv3.Talk12,終焉，萬物之始。
